 7.37055175337934E+06  2.24466186986778E+02  1.19215206543151E+02
 7.49894209332457E+06  2.25379985328950E+02  1.21318372296113E+02
 7.62956891161534E+06  2.26329885198547E+02  1.23458980152950E+02
 7.76247116628692E+06  2.27610643528844E+02  1.28160347770231E+02
 7.89768849399887E+06  2.28653426129485E+02  1.30443213872516E+02
 8.03526122185619E+06  2.29738266096314E+02  1.32767785931499E+02
 8.17523037943651E+06  2.30867053223789E+02  1.35134816572775E+02
 8.31763771102672E+06  2.32041775839824E+02  1.37545064547957E+02
 8.46252568807270E+06  2.33264526846939E+02  1.39999293510905E+02
 8.60993752184602E+06  2.34537510189807E+02  1.42498270585981E+02
 8.75991717633118E+06  2.35863047781058E+02  1.45042764707900E+02
 8.91250938133747E+06  2.37243586918037E+02  1.47633544679385E+02
 9.06775964583906E+06  2.38681708234429E+02  1.50271376941662E+02
 9.22571427154764E+06  2.40180134220851E+02  1.52957022983737E+02
 9.38642036672136E+06  2.41741738364434E+02  1.55691236371292E+02
 9.54992586021437E+06  2.43369554950569E+02  1.58474759321535E+02
 9.71627951577107E+06  2.45066789580165E+02  1.61308318773982E+02
 9.88553094656939E+06  2.46836830457396E+02  1.64192621891117E+02
 1.00577306300174E+07  2.48683260501750E+02  1.67128350893292E+02
 1.02329299228075E+07  2.50609870355939E+02  1.70116157166135E+02
 1.04111810762334E+07  2.52620672345675E+02  1.73156654511981E+02
 1.05925372517729E+07  2.54719915467325E+02  1.76250411443903E+02
 1.07770525369432E+07  2.56912101479018E+02  1.79397942388319E+02
 1.09647819614319E+07  2.59202002169762E+02  1.82599697646385E+02
 1.11557815135085E+07  2.61594677892153E+02  1.85856051942519E+02
 1.13501081567232E+07  2.64095497438058E+02  1.89167291351250E+02
 1.15478198468946E+07  2.66710159350887E+02  1.92533598402380E+02
 1.17489755493953E+07  2.69444714761892E+02  1.95955035093668E+02
 1.19536352567372E+07  2.72305591832345E+02  1.99431523513831E+02
 1.21618600064637E+07  2.75299621898646E+02  2.02962823755975E+02
 1.23737118993535E+07  2.78434067393536E+02  2.06548508725426E+02
 1.25892541179417E+07  2.81716651624072E+02  2.10187935418270E+02
 1.28085509453628E+07  2.85155590467550E+02  2.13880212162031E+02
 1.30316677845230E+07  2.88759626024583E+02  2.17624161242323E+02
 1.32586711776056E+07  2.92538062260341E+02  2.21418276276211E+02
 1.34896288259166E+07  2.96500802611531E+02  2.25260673579262E+02
 1.37246096100756E+07  3.00658389502711E+02  2.29149036659025E+02
