 8.8053E-001	 2.3940E-001 8.8053E-001	 2.6945E-001
 8.8682E-001	 2.4784E-001 8.8682E-001	 2.7790E-001
 8.9311E-001	 2.5566E-001 8.9311E-001	 2.8534E-001
 8.9939E-001	 2.6280E-001 8.9939E-001	 2.9169E-001
 9.0568E-001	 2.6922E-001 9.0568E-001	 2.9688E-001
 9.1197E-001	 2.7487E-001 9.1197E-001	 3.0086E-001
 9.1826E-001	 2.7972E-001 9.1826E-001	 3.0360E-001
 9.2455E-001	 2.8374E-001 9.2455E-001	 3.0506E-001
 9.3084E-001	 2.8691E-001 9.3084E-001	 3.0525E-001
 9.3713E-001	 2.8919E-001 9.3713E-001	 3.0417E-001
 9.4342E-001	 2.9058E-001 9.4342E-001	 3.0183E-001
 9.4971E-001	 2.9105E-001 9.4971E-001	 2.9826E-001
 9.5600E-001	 2.9059E-001 9.5600E-001	 2.9352E-001
 9.6229E-001	 2.8920E-001 9.6229E-001	 2.8765E-001
 9.6858E-001	 2.8687E-001 9.6858E-001	 2.8074E-001
 9.7487E-001	 2.8360E-001 9.7487E-001	 2.7289E-001
 9.8116E-001	 2.7940E-001 9.8116E-001	 2.6419E-001
 9.8745E-001	 2.7426E-001 9.8745E-001	 2.5479E-001
 9.9374E-001	 2.6819E-001 9.9374E-001	 2.4485E-001
 1.0000E+000	 2.6122E-001 1.0000E+000	 2.3453E-001
 1.0063E+000	 2.5334E-001 1.0063E+000	 2.2406E-001
 1.0126E+000	 2.4459E-001 1.0126E+000	 2.1366E-001
 1.0189E+000	 2.3498E-001 1.0189E+000	 2.0362E-001
 1.0252E+000	 2.2453E-001 1.0252E+000	 1.9421E-001
 1.0315E+000	 2.1327E-001 1.0315E+000	 1.8578E-001
 1.0378E+000	 2.0123E-001 1.0378E+000	 1.7863E-001
 1.0441E+000	 1.8844E-001 1.0441E+000	 1.7309E-001
 1.0503E+000	 1.7495E-001 1.0503E+000	 1.6941E-001
 1.0566E+000	 1.6079E-001 1.0566E+000	 1.6776E-001
 1.0629E+000	 1.4601E-001 1.0629E+000	 1.6820E-001
 1.0692E+000	 1.3068E-001 1.0692E+000	 1.7063E-001
 1.0755E+000	 1.1488E-001 1.0755E+000	 1.7487E-001
 1.0818E+000	 9.8733E-002 1.0818E+000	 1.8063E-001
 1.0881E+000	 8.2438E-002 1.0881E+000	 1.8758E-001
 1.0944E+000	 6.6361E-002 1.0944E+000	 1.9536E-001
 1.1007E+000	 5.1295E-002 1.1007E+000	 2.0365E-001
 1.1069E+000	 3.9174E-002 1.1069E+000	 2.1214E-001
 1.1132E+000	 3.4146E-002 1.1132E+000	 2.2056E-001
 1.1195E+000	 3.9657E-002 1.1195E+000	 2.2867E-001
 1.1258E+000	 5.2892E-002 1.1258E+000	 2.3626E-001
 1.1321E+000	 6.9845E-002 1.1321E+000	 2.4316E-001
 1.1384E+000	 8.8586E-002 1.1384E+000	 2.4923E-001
 1.1447E+000	 1.0831E-001 1.1447E+000	 2.5435E-001
 1.1510E+000	 1.2866E-001 1.1510E+000	 2.5843E-001
 1.1573E+000	 1.4943E-001 1.1573E+000	 2.6140E-001
 1.1636E+000	 1.7049E-001 1.1636E+000	 2.6321E-001
 1.1698E+000	 1.9177E-001 1.1698E+000	 2.6384E-001
 1.1761E+000	 2.1320E-001 1.1761E+000	 2.6326E-001
 1.1824E+000	 2.3473E-001 1.1824E+000	 2.6150E-001
 1.1887E+000	 2.5631E-001 1.1887E+000	 2.5859E-001
 1.1950E+000	 2.7790E-001 1.1950E+000	 2.5458E-001
 1.2013E+000	 2.9948E-001 1.2013E+000	 2.4953E-001
 1.2076E+000	 3.2100E-001 1.2076E+000	 2.4355E-001
 1.2139E+000	 3.4244E-001 1.2139E+000	 2.3673E-001
 1.2202E+000	 3.6376E-001 1.2202E+000	 2.2923E-001
 1.2264E+000	 3.8495E-001 1.2264E+000	 2.2121E-001
 1.2327E+000	 4.0597E-001 1.2327E+000	 2.1284E-001
