 6.90478648556415E+07  5.33181765297364E-03 -2.09134383368316E+01
 6.92072417920243E+07  5.36642200399764E-03 -2.01946877865482E+01
 6.93669866037629E+07  5.40133720763885E-03 -1.94777179352991E+01
 6.95271001399907E+07  5.43656626718720E-03 -1.87625135839690E+01
 6.96875832518010E+07  5.47211221291797E-03 -1.80490595996074E+01
 6.98484367922517E+07  5.50797810623155E-03 -1.73373409154991E+01
 7.00096616163698E+07  5.54416703889089E-03 -1.66273425305958E+01
 7.01712585811556E+07  5.58068213233138E-03 -1.59190495090304E+01
 7.03332285455876E+07  5.61752654139497E-03 -1.52124469797188E+01
 7.04955723706278E+07  5.65470345063615E-03 -1.45075201362443E+01
 7.06582909192240E+07  5.69221607649040E-03 -1.38042542360325E+01
 7.08213850563169E+07  5.73006766829070E-03 -1.31026346002252E+01
 7.09848556488439E+07  5.76826150699091E-03 -1.24026466132350E+01
 7.11487035657424E+07  5.80680090585451E-03 -1.17042757224996E+01
 7.13129296779561E+07  5.84568921430112E-03 -1.10075074376869E+01
 7.14775348584395E+07  5.88492981008630E-03 -1.03123273305472E+01
 7.16425199821615E+07  5.92452610838198E-03 -9.61872103462633E+00
 7.18078859261100E+07  5.96448155978039E-03 -8.92667424487669E+00
 7.19736335692987E+07  6.00479964292951E-03 -8.23617271691504E+00
 7.21397637927692E+07  6.04548388001761E-03 -7.54720226687350E+00
 7.23062774795963E+07  6.08653782237597E-03 -6.85974877121949E+00
 7.24731755148945E+07  6.12796505588752E-03 -6.17379816603722E+00
 7.26404587858203E+07  6.16976920868434E-03 -5.48933644662681E+00
 7.28081281815783E+07  6.21195394106249E-03 -4.80634966756905E+00
 7.29761845934255E+07  6.25452295096982E-03 -4.12482394170666E+00
 7.31446289146760E+07  6.29747997370141E-03 -3.44474544000590E+00
 7.33134620407060E+07  6.34082877905735E-03 -2.76610039158432E+00
 7.34826848689584E+07  6.38457317822041E-03 -2.08887508278186E+00
 7.36522982989477E+07  6.42871702071022E-03 -1.41305585689037E+00
 7.38223032322643E+07  6.47326419620755E-03 -7.38629114034071E-01
 7.39927005725800E+07  6.51821862600407E-03 -6.55813103664545E-02
 7.41634912256524E+07  6.56358427632344E-03  6.06101041828380E-01
 7.43346760993296E+07  6.60936515697252E-03  1.27643137492936E+00
 7.45062561035552E+07  6.65556531232353E-03  1.94542306608983E+00
 7.46782321503741E+07  6.70218882771926E-03  2.61308943769163E+00
 7.48506051539346E+07  6.74923983450116E-03  3.27944375790361E+00
 7.50233760304962E+07  6.79672249921730E-03  3.94449924076882E+00
 7.51965456984338E+07  6.84464103941522E-03  4.60826904674502E+00
 7.53701150782407E+07  6.89299970375233E-03  5.27076628303705E+00
 7.55440850925356E+07  6.94180279151162E-03  5.93200400399217E+00
 7.57184566660674E+07  6.99105464411422E-03  6.59199521149955E+00
 7.58932307257190E+07  7.04075964688433E-03  7.25075285531908E+00
 7.60684082005116E+07  7.09092222918985E-03  7.90828983335174E+00
