 8.98042784846804E+07  2.38169417416214E-02  2.43132804829420E+02
 9.00115655718171E+07  2.40693831929054E-02  2.43792950994722E+02
 9.02193311209745E+07  2.43246570117703E-02  2.44455400510204E+02
 9.04275762365422E+07  2.45827973677424E-02  2.45120165312795E+02
 9.06363020254599E+07  2.48438388761073E-02  2.45787257429250E+02
 9.08455095972231E+07  2.51078166064524E-02  2.46456688977272E+02
 9.10552000638873E+07  2.53747660894659E-02  2.47128472166185E+02
 9.12653745400748E+07  2.56447233307552E-02  2.47802619297883E+02
 9.14760341429812E+07  2.59177248052197E-02  2.48479142767850E+02
 9.16871799923806E+07  2.61938074743458E-02  2.49158055065960E+02
 9.18988132106317E+07  2.64730087868081E-02  2.49839368777416E+02
 9.21109349226838E+07  2.67553666872348E-02  2.50523096583749E+02
 9.23235462560831E+07  2.70409196281366E-02  2.51209251263715E+02
 9.25366483409782E+07  2.73297065716236E-02  2.51897845694284E+02
 9.27502423101263E+07  2.76217669983318E-02  2.52588892851633E+02
 9.29643292988993E+07  2.79171409153859E-02  2.53282405812096E+02
 9.31789104452898E+07  2.82158688607141E-02  2.53978397753147E+02
 9.33939868899171E+07  2.85179919227534E-02  2.54676881954462E+02
 9.36095597760332E+07  2.88235517343952E-02  2.55377871798920E+02
 9.38256302495292E+07  2.91325904835857E-02  2.56081380773622E+02
 9.40421994589410E+07  2.94451509370966E-02  2.56787422470966E+02
 9.42592685554554E+07  2.97612764184805E-02  2.57496010589638E+02
 9.44768386929167E+07  3.00810108511339E-02  2.58207158935791E+02
 9.46949110278324E+07  3.04043987425617E-02  2.58920881424061E+02
 9.49134867193792E+07  3.07314852004953E-02  2.59637192078637E+02
 9.51325669294099E+07  3.10623159456839E-02  2.60356105034470E+02
 9.53521528224584E+07  3.13969373146967E-02  2.61077634538285E+02
 9.55722455657481E+07  3.17353962773276E-02  2.61801794949812E+02
 9.57928463291944E+07  3.20777404349971E-02  2.62528600742908E+02
 9.60139562854143E+07  3.24240180374114E-02  2.63258066506676E+02
 9.62355766097325E+07  3.27742779957064E-02  2.63990206946731E+02
 9.64577084801843E+07  3.31285698834603E-02  2.64725036886345E+02
 9.66803530775255E+07  3.34869439521710E-02  2.65462571267599E+02
 9.69035115852378E+07  3.38494511411993E-02  2.66202825152855E+02
 9.71271851895336E+07  3.42161430813563E-02  2.66945813725538E+02
 9.73513750793637E+07  3.45870721172132E-02  2.67691552291986E+02
 9.75760824464234E+07  3.49622913157643E-02  2.68440056282192E+02
 9.78013084851584E+07  3.53418544649347E-02  2.69191341251307E+02
 9.80270543927716E+07  3.57258160929088E-02  2.69945422881046E+02
 9.82533213692294E+07  3.61142314945390E-02  2.70702316980866E+02
 9.84801106172677E+07  3.65071567075749E-02  2.71462039489349E+02
 9.87074233423987E+07  3.69046485568230E-02  2.72224606475479E+02
 9.89352607529174E+07  3.73067646518157E-02  2.72990034140220E+02
 9.91636240599074E+07  3.77135633981250E-02  2.73758338817645E+02
 9.93925144772480E+07  3.81251040189881E-02  2.74529536976537E+02
 9.96219332216202E+07  3.85414465572985E-02  2.75303645221650E+02
 9.98518815125136E+07  3.89626518888539E-02  2.76080680295361E+02
 1.00082360572232E+08  3.93887817425995E-02  2.76860659078898E+02
 1.00313371625902E+08  3.98198987098458E-02  2.77643598593996E+02
 1.00544915901477E+08  4.02560662595750E-02  2.78429516004304E+02
 1.00776994629744E+08  4.06973487424292E-02  2.79218428616939E+02
 1.01009609044332E+08  4.11438114202135E-02  2.80010353883959E+02
 1.01242760381717E+08  4.15955204696498E-02  2.80805309404052E+02
 1.01476449881231E+08  4.20525429958678E-02  2.81603312923890E+02
 1.01710678785062E+08  4.25149470549259E-02  2.82404382340067E+02
 1.01945448338271E+08  4.29828016604654E-02  2.83208535700303E+02
 1.02180759788789E+08  4.34561768007549E-02  2.84015791205445E+02
 1.02416614387428E+08  4.39351434547628E-02  2.84826167210872E+02
 1.02653013387888E+08  4.44197736151685E-02  2.85639682228296E+02
 1.02889958046762E+08  4.49101402888571E-02  2.86456354927499E+02
 1.03127449623545E+08  4.54063175283432E-02  2.87276204137999E+02
 1.03365489380637E+08  4.59083804308667E-02  2.88099248850673E+02
 1.03604078583354E+08  4.64164051773317E-02  2.88925508219836E+02
 1.03843218499930E+08  4.69304690363735E-02  2.89755001564732E+02
 1.04082910401530E+08  4.74506503651087E-02  2.90587748371606E+02
 1.04323155562250E+08  4.79770286713052E-02  2.91423768295243E+02
 1.04563955259127E+08  4.85096845821135E-02  2.92263081161151E+02
 1.04805310772149E+08  4.90486998984486E-02  2.93105706967268E+02
 1.05047223384254E+08  4.95941575881328E-02  2.93951665885869E+02
 1.05289694381344E+08  5.01461418284390E-02  2.94800978265664E+02
 1.05532725052289E+08  5.07047379994632E-02  2.95653664633588E+02
 1.05776316688933E+08  5.12700327263354E-02  2.96509745696881E+02
 1.06020470586103E+08  5.18421138930345E-02  2.97369242345148E+02
 1.06265188041613E+08  5.24210706476767E-02  2.98232175652305E+02
 1.06510470356274E+08  5.30069934477066E-02  2.99098566878678E+02
 1.06756318833900E+08  5.35999740568793E-02  2.99968437473226E+02
 1.07002734781313E+08  5.42001055862755E-02  3.00841809075546E+02
 1.07249719508352E+08  5.48074825042262E-02  3.01718703518149E+02
 1.07497274327880E+08  5.54222006618208E-02  3.02599142828407E+02
 1.07745400555791E+08  5.60443573197516E-02  3.03483149231118E+02
 1.07994099511013E+08  5.66740511618013E-02  3.04370745150492E+02
 1.08243372515522E+08  5.73113823233468E-02  3.05261953212587E+02
 1.08493220894343E+08  5.79564524197507E-02  3.06156796247536E+02
 1.08743645975562E+08  5.86093645615740E-02  3.07055297291920E+02
 1.08994649090327E+08  5.92702233903621E-02  3.07957479591208E+02
 1.09246231572862E+08  5.99391350946031E-02  3.08863366601965E+02
 1.09498394760470E+08  6.06162074310580E-02  3.09772981994668E+02
 1.09751139993537E+08  6.13015497640390E-02  3.10686349655769E+02
 1.10004468615548E+08  6.19952730891137E-02  3.11603493690486E+02
 1.10258381973086E+08  6.26974900525303E-02  3.12524438425286E+02
 1.10512881415844E+08  6.34083149773621E-02  3.13449208410402E+02
 1.10767968296630E+08  6.41278639076434E-02  3.14377828422504E+02
 1.11023643971372E+08  6.48562546223145E-02  3.15310323467402E+02
 1.11279909799130E+08  6.55936066604394E-02  3.16246718782704E+02
 1.11536767142103E+08  6.63400413769133E-02  3.17187039840468E+02
 1.11794217365630E+08  6.70956819351835E-02  3.18131312350162E+02
 1.12052261838204E+08  6.78606533700206E-02  3.19079562261244E+02
 1.12310901931477E+08  6.86350825994498E-02  3.20031815766244E+02
 1.12570139020265E+08  6.94190984697417E-02  3.20988099303491E+02
 1.12829974482559E+08  7.02128317731802E-02  3.21948439560086E+02
 1.13090409699532E+08  7.10164152985471E-02  3.22912863474943E+02
 1.13351446055542E+08  7.18299838488980E-02  3.23881398241748E+02
 1.13613084938145E+08  7.26536742826979E-02  3.24854071312072E+02
 1.13875327738096E+08  7.34876255627093E-02  3.25830910398377E+02
 1.14138175849365E+08  7.43319787573054E-02  3.26811943477253E+02
 1.14401630669137E+08  7.51868771145664E-02  3.27797198792644E+02
 1.14665693597823E+08  7.60524660776467E-02  3.28786704859034E+02
 1.14930366039064E+08  7.69288933207100E-02  3.29780490464667E+02
 1.15195649399744E+08  7.78163088044195E-02  3.30778584675132E+02
 1.15461545089992E+08  7.87148647967266E-02  3.31781016836467E+02
 1.15728054523193E+08  7.96247159317688E-02  3.32787816578733E+02
 1.15995179115996E+08  8.05460192268267E-02  3.33799013819604E+02
 1.16262920288316E+08  8.14789341510216E-02  3.34814638767630E+02
 1.16531279463350E+08  8.24236226428644E-02  3.35834721926172E+02
